,Sl. No,Session,RaceNo,DriverNumber,LapTime,LapNumber,SpeedI1,SpeedI2,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Stint,Team,Driver,TrackStatus,GridNo
57,,FP3,1,77,0 days 00:01:33.733000,13,234,266,310,TRUE,SOFT,2,TRUE,4,Alfa Romeo,BOT,1,8
45,,FP3,1,24,0 days 00:01:33.880000,11,237,268,308,TRUE,SOFT,2,TRUE,4,Alfa Romeo,ZHO,1,9
48,,FP3,1,18,0 days 00:01:33.920000,9,238,267,308,TRUE,SOFT,2,TRUE,3,Aston Martin,STR,1,10
54,,FP3,1,4,0 days 00:01:33.955000,12,235,266,,TRUE,SOFT,3,TRUE,2,McLaren,NOR,1,11
44,,FP3,1,27,0 days 00:01:33.971000,13,238,267,308,TRUE,SOFT,2,TRUE,4,Aston Martin,HUL,1,12
52,,FP3,1,10,0 days 00:01:34.176000,10,234,267,314,TRUE,SOFT,2,TRUE,3,AlphaTauri,GAS,1,13
41,,FP3,1,47,0 days 00:01:34.295000,13,238,270,315,TRUE,SOFT,3,TRUE,5,Haas F1 Team,MSC,1,14
55,,FP3,1,3,0 days 00:01:34.378000,14,234,263,304,TRUE,SOFT,2,TRUE,2,McLaren,RIC,1,15
50,,FP3,1,14,0 days 00:01:34.628000,9,237,267,318,TRUE,MEDIUM,2,TRUE,2,Alpine,ALO,1,16
46,,FP3,1,23,0 days 00:01:34.868000,8,235,268,311,TRUE,SOFT,2,TRUE,3,Williams,ALB,1,17
43,,FP3,1,31,0 days 00:01:34.957000,9,235,267,318,TRUE,MEDIUM,2,TRUE,2,Alpine,OCO,1,18
53,,FP3,1,6,0 days 00:01:35.667000,7,235,268,309,TRUE,SOFT,2,TRUE,3,Williams,LAT,1,19
58,,Q,1,16,0 days 00:01:30.558000,14,241,270,316,TRUE,SOFT,2,TRUE,5,Ferrari,LEC,1,1
59,,Q,1,1,0 days 00:01:30.681000,13,239,271,322,TRUE,SOFT,2,TRUE,4,Red Bull Racing,VER,1,2
60,,Q,1,55,0 days 00:01:30.687000,11,240,270,315,TRUE,SOFT,2,TRUE,4,Ferrari,SAI,1,3
61,,Q,1,11,0 days 00:01:30.921000,17,239,269,322,TRUE,SOFT,2,TRUE,6,Red Bull Racing,PER,1,4
62,,Q,1,44,0 days 00:01:31.238000,16,239,268,312,TRUE,SOFT,2,TRUE,5,Mercedes,HAM,1,5
63,,Q,1,77,0 days 00:01:31.560000,14,239,269,314,TRUE,SOFT,2,TRUE,5,Alfa Romeo,BOT,1,6
